"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","score","uri","subsectoinName","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"133","https://www.nytimes.com/reuters/2019/04/06/world/europe/06reuters-britain-eu.html","Prime Minister Theresa May has yet to move the ""red lines"" that have blocked a deal for Britain to leave the EU, opposition leader Jeremy Corbyn said on Saturday, after May launched talks with him in a last-ditch bid to save Brexit.","Prime Minister Theresa May has yet to move the ""red lines"" that have blocked a deal for Britain to leave the EU, opposition leader Jeremy Corbyn said on Saturday, after May launched talks with him in a last-ditch bid to save Brexit.","Reuters","2019-04-06T16:54:54+0000","article","None","World","News","5ca8da3949f0eacbf1f815a5",695,0,"nyt://article/b85e62ce-8970-5e0b-aff5-5285be2f8f53","Europe",NA,"UK Opposition Leader: I'm Waiting for May to Move Brexit 'Red Lines'",NA,NA,"UK Opposition Leader: I'm Waiting for May to Move Brexit 'Red Lines'",NA,NA,NA,"By REUTERS","REUTERS"
"134","https://www.nytimes.com/reuters/2019/04/09/world/asia/09reuters-india-election-poll.html","Indian Prime Minister Narendra Modi's ruling alliance will win a thin majority in a general election that starts on Thursday, an average of four opinion polls showed, with a focus on national security appearing to trump concerns over jobs and farm...","Indian Prime Minister Narendra Modi's ruling alliance will win a thin majority in a general election that starts on Thursday, an average of four opinion polls showed, with a focus on national security appearing to trump concerns over jobs and farm prices.","Reuters","2019-04-09T08:34:03+0000","article","None","World","News","5cac595449f0eacbf1f81c6d",436,0,"nyt://article/73f5cac7-5055-5690-9a0c-3cef9da8da3b","Asia Pacific",NA,"Modi's Alliance to Win Slim Majority in Indian Election, Poll Shows",NA,NA,"Modi's Alliance to Win Slim Majority in Indian Election, Poll Shows",NA,NA,NA,"By REUTERS","REUTERS"
"135","https://www.nytimes.com/aponline/2019/04/09/world/americas/ap-lt-mexico-uppity-giraffe.html","A baby giraffe in Mexico City's zoo has been named Jirafifita, which translates as Uppity Little Giraffe &#8212; a play on the president's favorite word for dismissing critics.","A baby giraffe in Mexico City's zoo has been named Jirafifita, which translates as Uppity Little Giraffe &#8212; a play on the president's favorite word for dismissing critics.","AP","2019-04-09T18:37:02+0000","article","None","World","News","5cace6a849f0eacbf1f8204a",119,0,"nyt://article/4ac66ce8-6163-5d0e-b256-1adfe95e97aa","Americas",NA,"Mexicans Name Baby Giraffe 'Uppity' After the Opposition",NA,NA,"Mexicans Name Baby Giraffe 'Uppity' After the Opposition",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"136","https://www.nytimes.com/reuters/2019/04/05/world/europe/05reuters-britain-eu-labour-may.html","Prime Minister Theresa May's government is ready to hold more discussions with the opposition Labour party this weekend over Brexit, a spokesman for May's office said on Friday.","Prime Minister Theresa May's government is ready to hold more discussions with the opposition Labour party this weekend over Brexit, a spokesman for May's office said on Friday.","Reuters","2019-04-05T18:28:36+0000","article","None","World","News","5ca79eae49f0eacbf1f813b9",121,0,"nyt://article/f60553e6-0159-5f23-bf6f-e8f154d26fc3","Europe",NA,"UK Government Ready to Hold More Brexit Talks With Opposition Labour This Weekend",NA,NA,"UK Government Ready to Hold More Brexit Talks With Opposition Labour This Weekend",NA,NA,NA,"By REUTERS","REUTERS"
"137","https://www.nytimes.com/reuters/2019/04/05/sports/05reuters-basketball-ncaa-duk-williamson.html","Duke freshman forward Zion Williamson was named the Associated Press Player of the Year on Friday.","Duke freshman forward Zion Williamson was named the Associated Press Player of the Year on Friday.","Reuters","2019-04-05T17:49:16+0000","article","None","Sports","News","5ca7957749f0eacbf1f8139a",110,0,"nyt://article/37383f89-dcb7-5be2-b142-f08a933aae0c",NA,NA,"Duke's Williamson Named AP Player of the Year",NA,NA,"Duke's Williamson Named AP Player of the Year",NA,NA,NA,"By REUTERS","REUTERS"
"138","https://www.nytimes.com/reuters/2019/04/09/world/middleeast/09reuters-israel-election.html","Both Prime Minister Benjamin Netanyahu and his main challenger Benny Gantz claimed victory in Israel's election but early results indicated on Wednesday the veteran right-wing leader was on course for a record fifth term.","Both Prime Minister Benjamin Netanyahu and his main challenger Benny Gantz claimed victory in Israel's election but early results indicated on Wednesday the veteran right-wing leader was on course for a record fifth term.","Reuters","2019-04-09T04:12:58+0000","article","None","World","News","5cac1c2449f0eacbf1f81bdd",747,0,"nyt://article/b8ada3e8-8de1-544f-8ce0-1291258bd008","Middle East",NA,"Netanyahu on Course to Win Israeli Election: Partial Results",NA,NA,"Netanyahu on Course to Win Israeli Election: Partial Results",NA,NA,NA,"By REUTERS","REUTERS"
"139","https://www.nytimes.com/reuters/2019/04/07/world/middleeast/07reuters-israel-palestinians-settlements.html","Palestinians voiced alarm while Israelis weighed the gravity on Sunday of Prime Minister Benjamin Netanyahu's sudden election promise to annex Jewish settlements in the occupied West Bank.","Palestinians voiced alarm while Israelis weighed the gravity on Sunday of Prime Minister Benjamin Netanyahu's sudden election promise to annex Jewish settlements in the occupied West Bank.","Reuters","2019-04-07T14:00:58+0000","article","None","World","News","5caa02f449f0eacbf1f816fd",799,0,"nyt://article/63d8ab76-ab16-5229-bcda-297ab56a34bc","Middle East",NA,"Netanyahu Plays Pre-election Trump Card: Settlement Annexation",NA,NA,"Netanyahu Plays Pre-election Trump Card: Settlement Annexation",NA,NA,NA,"By REUTERS","REUTERS"
"140","https://www.nytimes.com/reuters/2019/04/05/world/europe/05reuters-britain-eu-ambassadors.html","European Union envoys on Friday discussed options for granting Britain another Brexit delay next week.","European Union envoys on Friday discussed options for granting Britain another Brexit delay next week.","Reuters","2019-04-05T15:13:13+0000","article","None","World","News","5ca770e449f0eacbf1f812ed",517,0,"nyt://article/c55993a1-b2fd-51b1-a1d8-6abe59ab3e36","Europe",NA,"EU Weighs Options for Granting Brexit Delay Next Week",NA,NA,"EU Weighs Options for Granting Brexit Delay Next Week",NA,NA,NA,"By REUTERS","REUTERS"
"141","https://www.nytimes.com/reuters/2019/04/06/world/europe/06reuters-estonia-politics-government.html","Estonian Prime Minister Juri Ratas unveiled a three-way coalition agreement with the conservative Fatherland party and the far-right EKRE group, which could see him hold power despite his Centre party having come second in an inconclusive election...","Estonian Prime Minister Juri Ratas unveiled a three-way coalition agreement with the conservative Fatherland party and the far-right EKRE group, which could see him hold power despite his Centre party having come second in an inconclusive election.","Reuters","2019-04-06T14:45:58+0000","article","None","World","News","5ca8bc0049f0eacbf1f8157b",419,0,"nyt://article/f81e1001-1793-5720-beef-91aa3b6a641d","Europe",NA,"Three Estonian Parties, Including Far-Right EKRE, Agree on Coalition Plan",NA,NA,"Three Estonian Parties, Including Far-Right EKRE, Agree on Coalition Plan",NA,NA,NA,"By REUTERS","REUTERS"
"142","https://www.nytimes.com/reuters/2019/04/05/world/europe/05reuters-ukraine-election-drug-test.html","The two remaining candidates in Ukraine's presidential race underwent televised drug and alcohol tests on Friday, capping a week in which they traded jibes in tit-for-tat social media videos and goaded each other to agree to a live policy debate. ","The two remaining candidates in Ukraine's presidential race underwent televised drug and alcohol tests on Friday, capping a week in which they traded jibes in tit-for-tat social media videos and goaded each other to agree to a live policy debate. ","Reuters","2019-04-05T10:49:39+0000","article","None","World","News","5ca7331d49f0eacbf1f811f9",465,0,"nyt://article/8de9a2c2-f5a3-53e5-be24-2b01dfbde6a5","Europe",NA,"Ukraine Presidential Rivals Undergo Televised Drug Tests",NA,NA,"Ukraine Presidential Rivals Undergo Televised Drug Tests",NA,NA,NA,"By REUTERS","REUTERS"
"143","https://www.nytimes.com/reuters/2019/04/05/world/europe/05reuters-britain-eu-nextsteps-factbox.html","British Prime Minister Theresa May has formally asked for another delay to the country's exit from the European Union, buying time to thrash out an alternative Brexit plan with her political opponents.","British Prime Minister Theresa May has formally asked for another delay to the country's exit from the European Union, buying time to thrash out an alternative Brexit plan with her political opponents.","Reuters","2019-04-05T11:49:18+0000","article","None","World","News","5ca7411849f0eacbf1f81234",498,0,"nyt://article/96baa635-8331-5f42-a6a1-62f98b6afe4a","Europe",NA,"Factbox: Lost in the Brexit Maze-What Happens Next in Britain?",NA,NA,"Factbox: Lost in the Brexit Maze-What Happens Next in Britain?",NA,NA,NA,"By REUTERS","REUTERS"
