"","web_url","snippet","lead_paragraph","source","pub_date","document_type","news_desk","section_name","subsectoinName","type_of_material","_id","word_count","score","uri","print_page","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"108","https://www.nytimes.com/aponline/2019/04/01/world/europe/ap-eu-algeria.html","Algerian President Abdelaziz Bouteflika will step down before his fourth term ends on April 28, his office said Monday, as the ailing leader capitulated to growing calls for his resignation after two decades in power.","Algerian President Abdelaziz Bouteflika will step down before his fourth term ends on April 28, his office said Monday, as the ailing leader capitulated to growing calls for his resignation after two decades in power.","AP","2019-04-01T16:36:48+0000","article","None","World","Europe","News","5ca23e7a49f0eacbf1f7b24c",716,0,"nyt://article/dd507f37-17b7-5136-b976-039dbcc10782",NA,"Algeria's Leader, Ceding to Protests, Will Quit by April 28",NA,NA,"Algeria's Leader, Ceding to Protests, Will Quit by April 28",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"109","https://www.nytimes.com/reuters/2019/04/02/world/americas/02reuters-brazil-politics.html","Senior Brazilian officials charged with steering pension reform through Congress presented a united front on Tuesday, insisting on an end to the political finger-pointing in recent weeks that threw the government's signature reform bill into doubt...","Senior Brazilian officials charged with steering pension reform through Congress presented a united front on Tuesday, insisting on an end to the political finger-pointing in recent weeks that threw the government's signature reform bill into doubt.","Reuters","2019-04-02T13:25:13+0000","article","None","World","Americas","News","5ca3631349f0eacbf1f80228",367,0,"nyt://article/69fe0ed8-2e99-56b6-8014-ff263eafa583",NA,"Brazilian Government Takes Bullish Stance on Pension Reform",NA,NA,"Brazilian Government Takes Bullish Stance on Pension Reform",NA,NA,NA,"By REUTERS","REUTERS"
"110","https://www.nytimes.com/reuters/2019/04/02/world/americas/02reuters-guatemala-politics.html","Guatemala's former attorney general Thelma Aldana will seek to overturn a decision from the country's top elections authority that would prevent the anti-corruption crusader from running for president, a top aide said on Tuesday.","Guatemala's former attorney general Thelma Aldana will seek to overturn a decision from the country's top elections authority that would prevent the anti-corruption crusader from running for president, a top aide said on Tuesday.","Reuters","2019-04-02T20:22:29+0000","article","None","World","Americas","News","5ca3c4e049f0eacbf1f80495",334,0,"nyt://article/465465bd-d1aa-5901-85fa-e301c3c27196",NA,"Guatemala Anti-Graft Candidate to Appeal Ruling Blocking Her From Ballot",NA,NA,"Guatemala Anti-Graft Candidate to Appeal Ruling Blocking Her From Ballot",NA,NA,NA,"By REUTERS","REUTERS"
"111","https://www.nytimes.com/2019/04/03/us/chicago-mayor-lori-lightfoot.html","Ms. Lightfoot, a former federal prosecutor, had fended off skepticism about her electability in a huge field of better known political names.","Ms. Lightfoot, a former federal prosecutor, had fended off skepticism about her electability in a huge field of better known political names.","The New York Times","2019-04-03T11:38:46+0000","article","National","U.S.",NA,"News","5ca49ba149f0eacbf1f8084c",1162,0,"nyt://article/3baebe22-6943-56c0-844b-5803c91b619c","18","Lori Lightfoot, Chicago’s Incoming Mayor, Ran on Outsider Appeal",NA,NA,"Outsider Vowing to Fight Corruption Unites Chicago Voters",NA,NA,NA,"By MITCH SMITH",NA
"112","https://www.nytimes.com/aponline/2019/04/02/us/ap-us-baltimore-upheaval.html","Baltimore already faced daunting challenges: soaring violent crime, a thriving drug economy and poverty so intense that some derelict neighborhoods look like they were hit by a plague. Now, Mayor Catherine Pugh is embroiled in a strange scandal, s...","Baltimore already faced daunting challenges: soaring violent crime, a thriving drug economy and poverty so intense that some derelict neighborhoods look like they were hit by a plague. Now, Mayor Catherine Pugh is embroiled in a strange scandal, sucking attention away from those core issues while embarrassing Maryland's biggest city on a national scale.","AP","2019-04-02T20:33:48+0000","article","None","U.S.",NA,"News","5ca3c78649f0eacbf1f804a5",867,0,"nyt://article/91eb214e-1ec2-52b1-9851-3c8ad476423a",NA,"As Baltimore Struggles, Latest Scandal Sucks Away Attention",NA,NA,"As Baltimore Struggles, Latest Scandal Sucks Away Attention",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"113","https://www.nytimes.com/aponline/2019/04/01/world/asia/ap-as-pakistan-facebook.html","Facebook said Monday it has shut down more than 100 misleading pages, groups and accounts linked to the Pakistani military.","Facebook said Monday it has shut down more than 100 misleading pages, groups and accounts linked to the Pakistani military.","AP","2019-04-01T15:00:46+0000","article","None","World","Asia Pacific","News","5ca227f949f0eacbf1f7b208",277,0,"nyt://article/8f5a683c-18c2-5158-9cd8-decbc76966b6",NA,"Facebook Shuts Down Accounts Linked to Pakistan's Military",NA,NA,"Facebook Shuts Down Accounts Linked to Pakistan's Military",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"114","https://www.nytimes.com/2019/04/03/movies/the-best-of-enemies-review.html","Taraji P. Henson and Sam Rockwell star in a clumsy drama of racial reconciliation. It’s based on a true story.","Taraji P. Henson and Sam Rockwell star in a clumsy drama of racial reconciliation. It’s based on a true story.","The New York Times","2019-04-03T19:01:59+0000","article","Weekend","Movies",NA,"Review","5ca5038149f0eacbf1f80a9c",788,0,"nyt://article/595a56da-476e-5e61-a5bf-4203ba4ac492","6","‘The Best of Enemies’ Review: A Klansman and a Civil Rights Activist Become Friends",NA,NA,"A Story Paved With Good Intentions",NA,NA,NA,"By A.O. SCOTT",NA
"115","https://www.nytimes.com/reuters/2019/04/01/technology/01reuters-facebook-accounts-india.html","Facebook has deleted 712 accounts and 390 pages in India and Pakistan for ""inauthentic behavior"", it said on Monday, many linked to India's opposition Congress party days before a national election, and others related to Pakistan's military.","Facebook has deleted 712 accounts and 390 pages in India and Pakistan for ""inauthentic behavior"", it said on Monday, many linked to India's opposition Congress party days before a national election, and others related to Pakistan's military.","Reuters","2019-04-01T09:07:08+0000","article","None","Technology",NA,"News","5ca1d51649f0eacbf1f7b14e",843,0,"nyt://article/514d55fc-bddf-5179-b6e1-728d25ba9bca",NA,"Facebook Deletes Accounts Linked to India's Congress Party, Pakistan Military",NA,NA,"Facebook Deletes Accounts Linked to India's Congress Party, Pakistan Military",NA,NA,NA,"By REUTERS","REUTERS"
"116","https://www.nytimes.com/2019/04/03/world/europe/sinn-fein-mps-brexit.html","The party speaks for anti-Brexit Catholics in Northern Ireland, and its seven votes could make a difference. But it refuses on principle to participate.","The party speaks for anti-Brexit Catholics in Northern Ireland, and its seven votes could make a difference. But it refuses on principle to participate.","The New York Times","2019-04-03T17:13:18+0000","article","Foreign","World","Europe","News","5ca4ea0849f0eacbf1f80a19",656,0,"nyt://article/7a128e79-111b-56c3-b63c-7b6d0cfa74b1","7","Sinn Fein Refuses to Vote in British Parliament, Even Against Brexit",NA,NA,"Even Now, A Key Party In Parliament Isn’t There",NA,NA,NA,"By ED O'LOUGHLIN",NA
"117","https://www.nytimes.com/aponline/2019/04/03/us/ap-us-big-donor-north-carolina-indictments-the-latest.html","The Latest on charges that North Carolina's Republican Party chairman and a major donor sought to bribe the state's top insurance regulator to secure special treatment (all times local):","The Latest on charges that North Carolina's Republican Party chairman and a major donor sought to bribe the state's top insurance regulator to secure special treatment (all times local):","AP","2019-04-03T16:45:56+0000","article","None","U.S.",NA,"News","5ca4e39e49f0eacbf1f809fb",427,0,"nyt://article/a87b33cd-d26f-502c-8f83-6e5f2f2371fc",NA,"The Latest: Bribery Suspect Backed Other NC Politicos",NA,NA,"The Latest: Bribery Suspect Backed Other NC Politicos",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
